k,old_fisher_log,hard_mi,hard_nmi,soft_mi,soft_nmi,purity,used_anchors,inertia,neg_log_inertia
71,1.6309903150734752,0.3137047588825226,0.4525815546512604,0.24574217200279236,0.3545319736003876,0.837158203125,142,0.04125834358876093,3.1879019178365797
72,1.6465889974125774,0.32395055890083313,0.4673631489276886,0.24620147049427032,0.355194628238678,0.841064453125,144,0.04074682902952598,3.2003772575493836
73,1.64382963146919,0.31763598322868347,0.4582531154155731,0.24409419298171997,0.3521544635295868,0.839599609375,146,0.04043965958128089,3.2079443027366894
74,1.633304248434437,0.31119364500045776,0.44895875453948975,0.24197053909301758,0.34909066557884216,0.837158203125,148,0.04015239991922298,3.2150730665470335
75,1.5736666510225499,0.3185199797153473,0.45952844619750977,0.2460065335035324,0.3549133837223053,0.83984375,150,0.03972627477329496,3.2257424771234433
76,1.5956374431761589,0.3179575204849243,0.4587169885635376,0.24471250176429749,0.3530464470386505,0.83837890625,152,0.039305090403386866,3.236401241691057
77,1.5991759868989508,0.3232978284358978,0.4664214551448822,0.24550765752792358,0.35419365763664246,0.840087890625,154,0.039009017031514985,3.2439624536401825
78,1.570049172752063,0.3175000846385956,0.4580570459365845,0.24554574489593506,0.35424861311912537,0.834228515625,156,0.03865497113548474,3.253079892931366
79,1.562806878873927,0.32240191102027893,0.46512892842292786,0.24468211829662323,0.3530026078224182,0.838134765625,158,0.03841031952754424,3.2594291177954977
80,1.5731816203204916,0.3164372146129608,0.4565236568450928,0.242922842502594,0.35046452283859253,0.8349609375,160,0.03808991001703396,3.2678058608721003
