status,stage,task,variant,run_id,seed,n_train,n_val,n_test,input_dim,state_dim,extra_dims,extra_ratio,K,layers,params,total_children,selected_children,epochs,best_epoch,runtime_sec,train_loss,train_acc,val_loss,val_acc,test_loss,test_acc,best_val_loss,best_val_acc,best_test_acc_at_end,generalization_gap,init_sec,train_sec,mean_move_norm,mean_sigma,min_sigma,max_sigma,mean_charge_abs,mean_alpha_entropy,mean_alpha_eff,mean_top1_entropy,mean_top1_eff,mean_local_active,mean_global_positive,mean_z_norm,field_scale,checkpoint,error
ok,core_short,madelon_lite,fixedK_lattice,core_madelon_lite_K32_D1x_L4_S0,0,3072,2048,4096,5,5,0,0,32,4,1860,256,"[[32, 32], [32, 32], [32, 32], [32, 32]]",38,30,2.6239585876464844,0.11727296561002731,0.9716796875,0.1488111913204193,0.96435546875,0.16081948578357697,0.958251953125,0.1488111913204193,0.96435546875,0.958251953125,0.013427734375,0.10275721549987793,2.498380184173584,2.257722169160843,0.13548350147902966,0.08712302148342133,0.2094699889421463,0.10637525282800198,0.38808855414390564,1.4889386296272278,3.634044110774994,39.589088439941406,0.49742841720581055,0.7796224355697632,2.385849177837372,0.08,,
ok,core_short,madelon_lite,fixedK_lattice,core_madelon_lite_K64_D1x_L4_S0,0,3072,2048,4096,5,5,0,0,64,4,3652,512,"[[64, 64], [64, 64], [64, 64], [64, 64]]",55,47,3.7788963317871094,0.24122411012649536,0.9104817708333334,0.34026703238487244,0.87744140625,0.3447837829589844,0.86572265625,0.34026703238487244,0.87744140625,0.86572265625,0.04475911458333337,0.17733049392700195,3.580030679702759,2.614923045039177,0.12827666103839874,0.06470073014497757,0.2742854952812195,0.08394443057477474,0.47069795429706573,1.6601239144802094,4.404506206512451,83.39503479003906,0.5590169727802277,0.849772185087204,2.9014029502868652,0.08,,
ok,core_short,madelon_lite,fixedK_lattice,core_madelon_lite_K2_D2x_L4_S0,0,3072,2048,4096,5,10,5,1,2,4,310,16,"[[2, 2], [2, 2], [2, 2], [2, 2]]",35,27,2.281710147857666,0.11231116950511932,0.9664713541666666,0.13397185504436493,0.955078125,0.1330149620771408,0.954345703125,0.13397185504436493,0.955078125,0.954345703125,0.01212565104166663,0.03589463233947754,2.2248291969299316,2.49717478454113,0.22776402905583382,0.09291673451662064,0.5135613083839417,0.13291362300515175,0.8402186296880245,2.56872496008873,1.44200199842453,4.348652362823486,0.20642904564738274,0.4140625149011612,1.8041590452194214,0.08,,
ok,core_short,madelon_lite,fixedK_lattice,core_madelon_lite_K4_D2x_L4_S0,0,3072,2048,4096,5,10,5,1,4,4,502,32,"[[4, 4], [4, 4], [4, 4], [4, 4]]",46,38,3.047136068344116,0.029437188059091568,0.9934895833333334,0.0823526382446289,0.9833984375,0.0794854536652565,0.98193359375,0.0823526382446289,0.9833984375,0.98193359375,0.01155598958333337,0.04065442085266113,2.9848766326904297,2.9639206677675247,0.17947209998965263,0.0709632858633995,0.4170364737510681,0.10571437701582909,0.7056892663240433,2.1208457946777344,1.93301522731781,7.073450684547424,0.2466634288430214,0.4162597805261612,2.6772402822971344,0.08,,
ok,core_short,madelon_lite,fixedK_lattice,core_madelon_lite_K8_D2x_L4_S0,0,3072,2048,4096,5,10,5,1,8,4,886,64,"[[8, 8], [8, 8], [8, 8], [8, 8]]",14,6,0.9768011569976807,0.5303055644035339,0.8193359375,0.5446752905845642,0.81494140625,0.5519052147865295,0.805908203125,0.5446752905845642,0.81494140625,0.805908203125,0.013427734375,0.05120420455932617,0.9045605659484863,3.3355381339788437,0.16447765287011862,0.04804202914237976,0.2785729169845581,0.08026126585900784,0.27511297538876534,1.3552283644676208,2.4352731108665466,11.815287709236145,0.27526043727993965,0.415690116584301,3.4012488424777985,0.08,,
ok,core_short,madelon_lite,fixedK_lattice,core_madelon_lite_K16_D2x_L4_S0,0,3072,2048,4096,5,10,5,1,16,4,1654,128,"[[16, 16], [16, 16], [16, 16], [16, 16]]",30,22,2.081061840057373,0.09496864676475525,0.98046875,0.09512510150671005,0.9775390625,0.10992225259542465,0.971923828125,0.09512510150671005,0.9775390625,0.971923828125,0.008544921875,0.06859111785888672,1.99045729637146,1.6103413701057434,0.14827813394367695,0.09660497307777405,0.23494672775268555,0.10227865912020206,0.26111670210957527,1.3147110641002655,3.114568531513214,23.72446322441101,0.22456055879592896,0.3727050945162773,1.8142956495285034,0.08,,
ok,core_short,madelon_lite,fixedK_lattice,core_madelon_lite_K32_D2x_L4_S0,0,3072,2048,4096,5,10,5,1,32,4,3190,256,"[[32, 32], [32, 32], [32, 32], [32, 32]]",44,36,2.9172608852386475,0.11092635244131088,0.9674479166666666,0.16669872403144836,0.95068359375,0.166622593998909,0.950927734375,0.16669872403144836,0.95068359375,0.950927734375,0.01652018229166663,0.1036229133605957,2.79217791557312,1.8883934617042542,0.1352747194468975,0.09012526273727417,0.19633325934410095,0.09739949554204941,0.371678002178669,1.459415316581726,3.789692223072052,44.99604034423828,0.24860026687383652,0.39389650523662567,2.0591949224472046,0.08,,
ok,core_short,madelon_lite,fixedK_lattice,core_madelon_lite_K64_D2x_L4_S0,0,3072,2048,4096,5,10,5,1,64,4,6262,512,"[[64, 64], [64, 64], [64, 64], [64, 64]]",55,47,3.756403684616089,0.2565147876739502,0.9039713541666666,0.33509624004364014,0.87841796875,0.3441777974367142,0.866455078125,0.33509624004364014,0.87841796875,0.866455078125,0.03751627604166663,0.16754722595214844,3.566359519958496,2.6419637501239777,0.1291080228984356,0.062403250485658646,0.25985389947891235,0.08778033778071404,0.4281937703490257,1.591524362564087,4.353950142860413,80.08610916137695,0.2647135518491268,0.40449221432209015,2.8415244221687317,0.08,,
ok,core_short,madelon_lite,fixedK_lattice,core_madelon_lite_K2_D4x_L4_S0,0,3072,2048,4096,5,20,15,3,2,4,570,16,"[[2, 2], [2, 2], [2, 2], [2, 2]]",53,45,3.5086824893951416,0.06383281946182251,0.9908854166666666,0.08146945387125015,0.98828125,0.06239685043692589,0.991455078125,0.08146945387125015,0.98828125,0.991455078125,-0.0005696614583333703,0.03508639335632324,3.4522600173950195,2.4252572879195213,0.22654814273118973,0.0964026227593422,0.542734682559967,0.1250869557261467,0.7992326822131872,2.5186904668807983,1.3418601006269455,3.948929250240326,0.12183431722223759,0.21291504800319672,1.8699588105082512,0.08,,
ok,core_short,madelon_lite,fixedK_lattice,core_madelon_lite_K4_D4x_L4_S0,0,3072,2048,4096,5,20,15,3,4,4,922,32,"[[4, 4], [4, 4], [4, 4], [4, 4]]",44,36,2.9586262702941895,0.025102034211158752,0.9934895833333334,0.0570685938000679,0.9873046875,0.06743726506829262,0.985107421875,0.0570685938000679,0.9873046875,0.985107421875,0.00838216145833337,0.04361414909362793,2.893449068069458,3.365045726299286,0.174922002479434,0.06538283824920654,0.3995307981967926,0.12019852548837662,0.6220935508608818,1.9519489407539368,1.9819370210170746,7.305956482887268,0.1295084711164236,0.21790365502238274,3.1432097405195236,0.08,,
ok,core_short,madelon_lite,fixedK_lattice,core_madelon_lite_K8_D4x_L4_S0,0,3072,2048,4096,5,20,15,3,8,4,1626,64,"[[8, 8], [8, 8], [8, 8], [8, 8]]",40,32,2.6272456645965576,0.12834376096725464,0.9690755208333334,0.1489020138978958,0.96875,0.15371108055114746,0.966064453125,0.1489020138978958,0.96875,0.966064453125,0.0030110677083333703,0.0494837760925293,2.5497238636016846,6.892116874456406,0.16291938163340092,0.04622559994459152,0.2902693450450897,0.08525173924863338,0.21318272734060884,1.2823723554611206,2.3132233321666718,10.625343322753906,0.1317138709127903,0.19637859240174294,6.103639326989651,0.08,,
ok,core_short,madelon_lite,fixedK_lattice,core_madelon_lite_K16_D4x_L4_S0,0,3072,2048,4096,5,20,15,3,16,4,3034,128,"[[16, 16], [16, 16], [16, 16], [16, 16]]",46,38,3.085634469985962,0.049947589635849,0.9908854166666666,0.05876215547323227,0.98828125,0.051486462354660034,0.98974609375,0.05876215547323227,0.98828125,0.98974609375,0.0011393229166666297,0.07227015495300293,2.9911794662475586,2.052374243736267,0.14549719542264938,0.09115061163902283,0.1890089511871338,0.13168101385235786,0.34092868119478226,1.4335838854312897,2.898389458656311,19.995858430862427,0.10375163331627846,0.17881673574447632,1.9740644991397858,0.08,,
ok,core_short,madelon_lite,fixedK_lattice,core_madelon_lite_K32_D4x_L4_S0,0,3072,2048,4096,5,20,15,3,32,4,5850,256,"[[32, 32], [32, 32], [32, 32], [32, 32]]",54,46,3.6424448490142822,0.11085200309753418,0.9694010416666666,0.13484880328178406,0.96142578125,0.15922972559928894,0.951904296875,0.13484880328178406,0.96142578125,0.951904296875,0.01749674479166663,0.10435771942138672,3.5166561603546143,1.931323379278183,0.13621870055794716,0.08484886586666107,0.19561468064785004,0.09761025197803974,0.4215366244316101,1.540283441543579,3.6569209694862366,39.94989490509033,0.11997070722281933,0.19016927853226662,2.103661060333252,0.08,,
ok,core_short,madelon_lite,fixedK_lattice,core_madelon_lite_K64_D4x_L4_S0,0,3072,2048,4096,5,20,15,3,64,4,11482,512,"[[64, 64], [64, 64], [64, 64], [64, 64]]",36,28,2.488074541091919,0.37344643473625183,0.8499348958333334,0.4332617521286011,0.8134765625,0.45355698466300964,0.798095703125,0.4332617521286011,0.8134765625,0.798095703125,0.05183919270833337,0.17124295234680176,2.2952651977539062,2.48003351688385,0.12825558707118034,0.06610409915447235,0.23872050642967224,0.08185944333672523,0.4516474511474371,1.629149168729782,4.445423722267151,86.4493293762207,0.13540853559970856,0.2075195424258709,2.7688722163438797,0.08,,
ok,core_short,madelon_lite,fixedK_lattice,core_madelon_lite_K2_D1x_L8_S0,0,3072,2048,4096,5,5,0,0,2,8,348,32,"[[2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2], [2, 2]]",51,43,5.655399322509766,0.04545911898215612,0.9908854166666666,0.05896805226802826,0.986328125,0.055272024124860764,0.988525390625,0.05896805226802826,0.986328125,0.988525390625,0.0023600260416666297,0.06436991691589355,5.553151369094849,3.4205200485885143,0.2189767174422741,0.0657057836651802,0.49182751774787903,0.09433814883232117,0.6950015602560597,2.2576887905597687,1.4175819605588913,4.336058586835861,0.5911295935511589,0.955761730670929,3.5201666839420795,0.08,,
ok,core_short,madelon_lite,fixedK_lattice,core_madelon_lite_K4_D1x_L8_S0,0,3072,2048,4096,5,5,0,0,4,8,572,64,"[[4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4], [4, 4]]",59,51,6.568268537521362,0.18740971883138022,0.9475911458333334,0.19978605210781097,0.94287109375,0.20850858837366104,0.939453125,0.19978605210781097,0.94287109375,0.939453125,0.00813802083333337,0.0765831470489502,6.452956438064575,3.1188874058425426,0.23869236558675766,0.05614490061998367,0.5704917907714844,0.08500258810818195,0.4516142265347298,1.7164363265037537,1.6277407556772232,5.697557032108307,0.492513045668602,0.9291829541325569,4.707053065299988,0.08,,
