status,run_id,dataset,model,mode,seed,layers,fixed_k,selected_k,max_children,extra_dims,input_dim,state_dim,num_classes,epochs,lr,batch_size,init_samples,kmeans_iters,params,best_epoch,best_val_acc,best_val_f1,final_val_acc,final_val_f1,test_acc,test_f1,train_time_sec,selected_children,total_children,train_fisher_before,train_fisher_after,val_fisher_before,val_fisher_after,test_fisher_before,test_fisher_after,diag_sigma_mean,diag_sigma_min,diag_sigma_max,diag_charge_abs_mean,diag_parent_norm,diag_child_offset_norm,diag_anchor_alpha_entropy,diag_anchor_alpha_eff,diag_parent_top_rate,diag_child_top_rate,diag_gate_mean,diag_gate_active,diag_move_norm
ok,checkerboard3d_g4__L1_extra3__fixed_k32__seed0,checkerboard3d_g4,AAT-L1-extra3-K32,fixed,0,1,32,32,32,3,3,6,2,300,0.002,256,4096,8,606,297,0.942871,0.942871,0.934082,0.934076,0.931641,0.931484,33.979,"[[32, 32]]",64,0.619791,1194.79248,2.350612,515.734436,0.442495,536.636841,0.114161,0.098452,0.190087,1.821904,0.66411,0.823076,0.523541,1.687994,0.034668,0.965332,0.750775,0.257713,0.564212
ok,checkerboard3d_g4__L1_extra3__fixed_k33__seed0,checkerboard3d_g4,AAT-L1-extra3-K33,fixed,0,1,33,33,33,3,3,6,2,300,0.002,256,4096,8,624,298,0.945801,0.945785,0.931641,0.931626,0.938965,0.938903,34.101,"[[33, 33]]",66,0.619791,1307.339966,2.350612,563.927307,0.442495,594.461365,0.112497,0.097301,0.167435,1.846951,0.703035,0.831716,0.465238,1.592393,0.0,1.0,0.854338,0.272106,0.570548
ok,checkerboard3d_g4__L1_extra3__fixed_k34__seed0,checkerboard3d_g4,AAT-L1-extra3-K34,fixed,0,1,34,34,34,3,3,6,2,300,0.002,256,4096,8,642,298,0.95752,0.957518,0.95459,0.954584,0.955078,0.955006,33.209,"[[34, 34]]",68,0.619791,1710.835693,2.350612,749.035278,0.442495,766.581848,0.111651,0.098934,0.127341,1.928395,0.704008,0.832236,0.440291,1.55316,0.0,1.0,0.905475,0.284259,0.622975
ok,checkerboard3d_g4__L1_extra3__fixed_k35__seed0,checkerboard3d_g4,AAT-L1-extra3-K35,fixed,0,1,35,35,35,3,3,6,2,300,0.002,256,4096,8,660,283,0.959473,0.959449,0.95459,0.95455,0.945801,0.94579,33.025,"[[35, 35]]",70,0.619791,1679.294922,2.350612,738.328003,0.442495,749.345703,0.111233,0.099559,0.125416,1.838421,0.693234,0.822969,0.440122,1.552897,0.0,1.0,0.864149,0.271226,0.615651
ok,checkerboard3d_g4__L1_extra3__fixed_k36__seed0,checkerboard3d_g4,AAT-L1-extra3-K36,fixed,0,1,36,36,36,3,3,6,2,300,0.002,256,4096,8,678,276,0.957031,0.957011,0.95166,0.951656,0.948242,0.94822,33.544,"[[36, 36]]",72,0.619791,1546.942505,2.350612,671.522583,0.442495,685.310608,0.111018,0.097466,0.164527,1.732103,0.689241,0.823364,0.441805,1.555512,0.006348,0.993652,0.767297,0.248501,0.594344
ok,checkerboard3d_g4__L1_extra3__fixed_k37__seed0,checkerboard3d_g4,AAT-L1-extra3-K37,fixed,0,1,37,37,37,3,3,6,2,300,0.002,256,4096,8,696,242,0.958496,0.958474,0.952637,0.952607,0.947266,0.947241,33.591,"[[37, 37]]",74,0.619791,1697.228516,2.350612,736.888184,0.442495,756.035095,0.109882,0.098126,0.119924,1.666543,0.707358,0.808828,0.441742,1.555414,0.0,1.0,0.846704,0.263876,0.606637
ok,checkerboard3d_g4__L1_extra3__fixed_k38__seed0,checkerboard3d_g4,AAT-L1-extra3-K38,fixed,0,1,38,38,38,3,3,6,2,300,0.002,256,4096,8,714,292,0.959473,0.95947,0.955566,0.955555,0.949219,0.949133,34.164,"[[38, 38]]",76,0.619791,1626.173828,2.350612,710.235107,0.442495,724.670166,0.109345,0.096412,0.121289,1.661304,0.703308,0.830599,0.429587,1.536624,0.0,1.0,0.819697,0.25647,0.605208
ok,checkerboard3d_g4__L1_extra3__fixed_k39__seed0,checkerboard3d_g4,AAT-L1-extra3-K39,fixed,0,1,39,39,39,3,3,6,2,300,0.002,256,4096,8,732,291,0.958008,0.958003,0.955078,0.955051,0.945801,0.945759,34.64,"[[39, 39]]",78,0.619791,1638.487915,2.350612,713.906799,0.442495,729.176514,0.108511,0.097047,0.122636,1.647536,0.682012,0.822484,0.423595,1.527442,0.0,1.0,0.806605,0.256216,0.610234
ok,checkerboard3d_g4__L1_extra3__fixed_k40__seed0,checkerboard3d_g4,AAT-L1-extra3-K40,fixed,0,1,40,40,40,3,3,6,2,300,0.002,256,4096,8,750,245,0.959473,0.959471,0.947266,0.947265,0.952148,0.952056,35.123,"[[40, 40]]",80,0.619791,1812.661865,2.350612,794.767456,0.442495,810.560913,0.108436,0.097133,0.12046,1.585347,0.730713,0.799993,0.429865,1.53705,0.0,1.0,0.854664,0.259827,0.62146
ok,checkerboard3d_g4__L1_extra3__fixed_k41__seed0,checkerboard3d_g4,AAT-L1-extra3-K41,fixed,0,1,41,41,41,3,3,6,2,300,0.002,256,4096,8,768,281,0.959961,0.959953,0.951172,0.951153,0.955078,0.955045,35.077,"[[41, 41]]",82,0.619791,1694.785889,2.350612,742.735535,0.442495,755.15625,0.107057,0.096296,0.119801,1.580701,0.68572,0.80701,0.414553,1.513695,0.0,1.0,0.813832,0.251197,0.614226
ok,checkerboard3d_g4__L1_extra3__fixed_k42__seed0,checkerboard3d_g4,AAT-L1-extra3-K42,fixed,0,1,42,42,42,3,3,6,2,300,0.002,256,4096,8,786,265,0.960449,0.960442,0.953125,0.953105,0.950195,0.950158,34.194,"[[42, 42]]",84,0.619791,1683.908813,2.350612,737.625488,0.442495,752.937073,0.10808,0.09647,0.120055,1.503167,0.718841,0.816687,0.424903,1.529442,0.0,1.0,0.779833,0.243507,0.607166
ok,checkerboard3d_g4__L1_extra3__fixed_k43__seed0,checkerboard3d_g4,AAT-L1-extra3-K43,fixed,0,1,43,43,43,3,3,6,2,300,0.002,256,4096,8,804,297,0.958496,0.958476,0.956543,0.956529,0.952637,0.952616,33.175,"[[43, 43]]",86,0.619791,1664.832397,2.350612,730.77771,0.442495,743.552307,0.106334,0.095381,0.115953,1.519232,0.681187,0.826188,0.410129,1.507012,0.0,1.0,0.755418,0.235641,0.614026
