rank,run_id,model,mode,fixed_k,selected_k,max_children,params,best_epoch,best_val_acc,best_val_f1,test_acc,test_f1,final_val_acc,train_time_sec,val_fisher_after,diag_gate_active,diag_move_norm
53,checkerboard3d_g4__L1_extra3__fixed_k28__seed0,AAT-L1-extra3-K28,fixed,28,28,28,534,289,0.90918,0.909148,0.903809,0.903766,0.903809,33.232,321.407104,0.235718,0.471425
54,checkerboard3d_g4__L1_extra3__fixed_k27__seed0,AAT-L1-extra3-K27,fixed,27,27,27,516,275,0.89209,0.892071,0.90332,0.903263,0.887207,33.514,293.781494,0.2146,0.468718
55,checkerboard3d_g4__L1_extra3__fixed_k26__seed0,AAT-L1-extra3-K26,fixed,26,26,26,498,294,0.874512,0.874407,0.875488,0.875486,0.871094,33.474,258.621918,0.207886,0.455954
56,checkerboard3d_g4__L1_extra3__fixed_k25__seed0,AAT-L1-extra3-K25,fixed,25,25,25,480,292,0.868164,0.868079,0.855957,0.855951,0.86084,33.462,241.720886,0.204922,0.455725
57,checkerboard3d_g4__L1_extra3__fixed_k24__seed0,AAT-L1-extra3-K24,fixed,24,24,24,462,283,0.858398,0.858364,0.844727,0.844698,0.85791,33.676,226.737427,0.186656,0.460735
58,checkerboard3d_g4__L1_extra3__fixed_k21__seed0,AAT-L1-extra3-K21,fixed,21,21,21,408,278,0.844238,0.844222,0.832031,0.832027,0.837891,33.799,130.656738,0.146787,0.383255
59,checkerboard3d_g4__L1_extra3__fixed_k22__seed0,AAT-L1-extra3-K22,fixed,22,22,22,426,258,0.842285,0.842234,0.836914,0.836817,0.834473,33.802,170.110367,0.188809,0.394184
60,checkerboard3d_g4__L1_extra3__fixed_k23__seed0,AAT-L1-extra3-K23,fixed,23,23,23,444,290,0.837402,0.837382,0.839355,0.839342,0.830566,33.45,187.865845,0.183456,0.437215
61,checkerboard3d_g4__L1_extra3__fixed_k18__seed0,AAT-L1-extra3-K18,fixed,18,18,18,354,296,0.796387,0.796113,0.803223,0.803202,0.793945,33.95,92.752632,0.142225,0.315709
62,checkerboard3d_g4__L1_extra3__fixed_k15__seed0,AAT-L1-extra3-K15,fixed,15,15,15,300,299,0.793457,0.793208,0.780762,0.78076,0.787109,33.974,53.152679,0.131315,0.33862
63,checkerboard3d_g4__L1_extra3__fixed_k17__seed0,AAT-L1-extra3-K17,fixed,17,17,17,336,268,0.790039,0.790038,0.793945,0.793453,0.780762,34.12,76.374451,0.141803,0.263692
64,checkerboard3d_g4__L1_extra3__fixed_k19__seed0,AAT-L1-extra3-K19,fixed,19,19,19,372,241,0.787109,0.786901,0.788574,0.788548,0.779785,33.568,87.685631,0.18678,0.334803
65,checkerboard3d_g4__L1_extra3__fixed_k20__seed0,AAT-L1-extra3-K20,fixed,20,20,20,390,278,0.774414,0.773324,0.78125,0.781167,0.769531,34.157,93.35582,0.149426,0.2894
66,checkerboard3d_g4__L1_extra3__fixed_k16__seed0,AAT-L1-extra3-K16,fixed,16,16,16,318,273,0.767578,0.76693,0.74707,0.747051,0.762207,33.772,57.33556,0.124176,0.270228
67,checkerboard3d_g4__L1_extra3__fixed_k11__seed0,AAT-L1-extra3-K11,fixed,11,11,11,228,291,0.749023,0.747026,0.751465,0.750733,0.734863,42.809,12.652736,0.136519,0.255394
68,checkerboard3d_g4__L1_extra3__fixed_k10__seed0,AAT-L1-extra3-K10,fixed,10,10,10,210,281,0.745605,0.745522,0.744141,0.744132,0.73877,34.03,17.01387,0.143481,0.307156
69,checkerboard3d_g4__L1_extra3__fixed_k13__seed0,AAT-L1-extra3-K13,fixed,13,13,13,264,202,0.73584,0.735734,0.737305,0.736209,0.725586,33.902,23.083042,0.12162,0.244815
70,checkerboard3d_g4__L1_extra3__fixed_k12__seed0,AAT-L1-extra3-K12,fixed,12,12,12,246,298,0.727539,0.727202,0.721191,0.721176,0.71875,33.904,26.217257,0.126485,0.19072
71,checkerboard3d_g4__L1_extra3__fixed_k14__seed0,AAT-L1-extra3-K14,fixed,14,14,14,282,295,0.725586,0.724298,0.734375,0.734263,0.721191,33.887,30.582867,0.132115,0.193182
72,checkerboard3d_g4__L1_extra3__fixed_k09__seed0,AAT-L1-extra3-K9,fixed,9,9,9,192,291,0.717773,0.716523,0.717773,0.717443,0.713379,34.386,16.432983,0.132243,0.329946
73,checkerboard3d_g4__L1_extra3__fixed_k08__seed0,AAT-L1-extra3-K8,fixed,8,8,8,174,109,0.683105,0.679234,0.679199,0.677103,0.678711,33.755,8.738335,0.145538,0.195035
74,checkerboard3d_g4__L1_extra3__fixed_k07__seed0,AAT-L1-extra3-K7,fixed,7,7,7,156,225,0.665527,0.655759,0.664062,0.655656,0.659668,34.129,6.921807,0.114886,0.114142
75,checkerboard3d_g4__L1_extra3__fixed_k04__seed0,AAT-L1-extra3-K4,fixed,4,4,4,102,283,0.657227,0.656161,0.644531,0.644091,0.648438,34.3,4.109708,0.188354,0.260625
76,checkerboard3d_g4__L1_extra3__fixed_k06__seed0,AAT-L1-extra3-K6,fixed,6,6,6,138,293,0.651855,0.64331,0.645508,0.63997,0.646973,34.051,3.535661,0.204142,0.218063
77,checkerboard3d_g4__L1_extra3__fixed_k05__seed0,AAT-L1-extra3-K5,fixed,5,5,5,120,269,0.63916,0.639077,0.618164,0.618003,0.630859,33.96,5.597505,0.108154,0.209374
78,checkerboard3d_g4__L1_extra3__autok_max80__seed0,AAT-L1-extra3-AutoK-max80,auto,,5,80,120,139,0.630371,0.629607,0.624512,0.624361,0.620117,33.509,3.398412,0.19043,0.193369
79,checkerboard3d_g4__L1_extra3__autok_max48__seed0,AAT-L1-extra3-AutoK-max48,auto,,5,48,120,68,0.616699,0.61466,0.616699,0.61557,0.603516,65.082,6.460718,0.219775,0.25633
80,checkerboard3d_g4__L1_extra3__fixed_k02__seed0,AAT-L1-extra3-K2,fixed,2,2,2,66,283,0.573242,0.568168,0.563965,0.561116,0.571289,60.299,4.948846,0.085449,0.326764
81,checkerboard3d_g4__L1_extra3__fixed_k03__seed0,AAT-L1-extra3-K3,fixed,3,3,3,84,55,0.568848,0.546462,0.547363,0.530959,0.558105,52.071,2.791779,0.165365,0.096745
