status,run_id,dataset,model,mode,seed,layers,fixed_k,selected_k,max_children,state_mode,extra_dims,input_dim,state_dim,num_classes,epochs,lr,batch_size,init_samples,kmeans_iters,params,best_epoch,best_val_acc,best_val_f1,final_val_acc,final_val_f1,test_acc,test_f1,train_time_sec,selected_children,total_children,train_fisher_before,train_fisher_after,val_fisher_before,val_fisher_after,test_fisher_before,test_fisher_after,layer1_children,layer1_sigma_mean,layer1_sigma_min,layer1_sigma_max,layer1_gate_active,layer1_gate_mean,layer1_move_norm,layer1_alpha_eff,layer1_parent_top_rate,layer1_child_top_rate,layer1_charge_abs_mean,layer1_parent_norm,layer1_child_offset_norm
ok,airline_satisfaction__L1_x2__fixed_k50__seed0,airline_satisfaction,AAT-L1-x2-K50,fixed,0,1,50,50,50,x2,32,32,64,2,80,0.001,512,8192,8,6962,78,0.954382,0.953391,0.952457,0.951548,0.954342,0.95341,103.472,"[[50, 50]]",100,6778.578125,7071.434082,1237.093018,1289.544556,2095.927246,2179.886475,50.0,2.715859,1.699227,3.578417,0.157629,0.120438,0.529368,15.952145,0.002686,0.997314,0.607412,8.423624,10.642417
ok,airline_satisfaction__L1_x2__fixed_k51__seed0,airline_satisfaction,AAT-L1-x2-K51,fixed,0,1,51,51,51,x2,32,32,64,2,80,0.001,512,8192,8,7096,79,0.95342,0.952523,0.952137,0.951279,0.953534,0.952727,104.301,"[[51, 51]]",102,6778.578125,6995.405762,1237.093018,1275.340942,2095.927246,2158.273193,51.0,2.711886,1.638015,3.763952,0.142366,0.102495,0.480795,15.870852,0.002808,0.997192,0.596648,8.301222,10.634474
ok,airline_satisfaction__L1_x2__fixed_k52__seed0,airline_satisfaction,AAT-L1-x2-K52,fixed,0,1,52,52,52,x2,32,32,64,2,80,0.001,512,8192,8,7230,78,0.955345,0.954423,0.954831,0.953932,0.95365,0.952801,103.235,"[[52, 52]]",104,6778.578125,7014.474609,1237.093018,1279.085449,2095.927246,2162.898682,52.0,2.71578,1.633391,3.785976,0.134976,0.097165,0.525429,15.920634,0.001831,0.998169,0.602485,8.332806,10.571454
ok,airline_satisfaction__L1_x2__fixed_k53__seed0,airline_satisfaction,AAT-L1-x2-K53,fixed,0,1,53,53,53,x2,32,32,64,2,80,0.001,512,8192,8,7364,77,0.954061,0.953134,0.952906,0.952017,0.953919,0.953102,103.552,"[[53, 53]]",106,6778.578125,6988.972656,1237.093018,1274.758667,2095.927246,2156.044189,53.0,2.727047,1.670119,3.659716,0.159412,0.114228,0.512159,16.973537,0.000977,0.999023,0.61352,8.433406,10.449673
ok,airline_satisfaction__L1_x2__fixed_k54__seed0,airline_satisfaction,AAT-L1-x2-K54,fixed,0,1,54,54,54,x2,32,32,64,2,80,0.001,512,8192,8,7498,63,0.954895,0.953928,0.954446,0.95348,0.95288,0.951981,103.767,"[[54, 54]]",108,6778.578125,7024.476562,1237.093018,1282.164429,2095.927246,2166.120361,54.0,2.713755,1.691319,3.668919,0.137433,0.096855,0.545488,16.179188,0.011597,0.988403,0.566737,8.371338,10.450103
ok,airline_satisfaction__L1_x2__fixed_k55__seed0,airline_satisfaction,AAT-L1-x2-K55,fixed,0,1,55,55,55,x2,32,32,64,2,80,0.001,512,8192,8,7632,78,0.95496,0.954093,0.95496,0.954037,0.953342,0.952558,104.641,"[[55, 55]]",110,6778.578125,7011.568359,1237.093018,1278.586182,2095.927246,2163.203613,55.0,2.71021,1.656488,3.649501,0.151519,0.106565,0.524142,18.137915,0.004395,0.995605,0.638533,8.205626,10.405015
ok,airline_satisfaction__L1_x2__fixed_k56__seed0,airline_satisfaction,AAT-L1-x2-K56,fixed,0,1,56,56,56,x2,32,32,64,2,80,0.001,512,8192,8,7766,68,0.953933,0.953007,0.95265,0.951764,0.953303,0.95249,104.556,"[[56, 56]]",112,6778.578125,7029.381836,1237.093018,1282.339233,2095.927246,2167.186523,56.0,2.704625,1.668973,3.595939,0.140155,0.102133,0.528861,17.948748,0.021851,0.978149,0.587855,8.395193,10.473025
ok,airline_satisfaction__L1_x2__fixed_k57__seed0,airline_satisfaction,AAT-L1-x2-K57,fixed,0,1,57,57,57,x2,32,32,64,2,80,0.001,512,8192,8,7900,80,0.954061,0.95318,0.954061,0.95318,0.953265,0.952486,104.622,"[[57, 57]]",114,6778.578125,7026.442871,1237.093018,1281.575928,2095.927246,2166.144531,57.0,2.692993,1.610918,3.564968,0.130799,0.093858,0.510967,17.926422,0.019653,0.980347,0.602492,8.440889,10.496676
ok,airline_satisfaction__L1_x2__fixed_k58__seed0,airline_satisfaction,AAT-L1-x2-K58,fixed,0,1,58,58,58,x2,32,32,64,2,80,0.001,512,8192,8,8034,79,0.95419,0.953246,0.953933,0.953063,0.954458,0.953582,103.774,"[[58, 58]]",116,6778.578125,7054.603516,1237.093018,1286.638794,2095.927246,2172.74585,58.0,2.713466,1.618253,3.674074,0.12147,0.081396,0.476815,18.761749,0.025146,0.974854,0.595599,8.422943,10.447914
ok,airline_satisfaction__L1_x2__fixed_k59__seed0,airline_satisfaction,AAT-L1-x2-K59,fixed,0,1,59,59,59,x2,32,32,64,2,80,0.001,512,8192,8,8168,70,0.955665,0.954786,0.955537,0.954677,0.953457,0.952604,103.988,"[[59, 59]]",118,6778.578125,7063.794922,1237.093018,1288.256226,2095.927246,2176.372559,59.0,2.692315,1.643224,3.717642,0.130256,0.089137,0.529597,18.212461,0.043579,0.956421,0.57873,8.343022,10.357737
