rank,run_id,model,mode,fixed_k,selected_k,selected_children,total_children,params,best_epoch,best_val_acc,best_val_f1,test_acc,test_f1,final_val_acc,train_time_sec,val_fisher_before,val_fisher_after,layer1_children,layer1_sigma_mean,layer1_gate_active,layer1_move_norm,layer1_alpha_eff
84,airline_satisfaction__L1_x2__fixed_k10__seed0,AAT-L1-x2-K10,fixed,10,10,"[[10, 10]]",20,1602,79,0.949057,0.947967,0.947759,0.946763,0.948608,183.033,1237.093018,1286.782959,10.0,2.742556,0.161182,0.598828,4.692729
85,airline_satisfaction__L1_x2__fixed_k09__seed0,AAT-L1-x2-K9,fixed,9,9,"[[9, 9]]",18,1468,75,0.948159,0.947126,0.946451,0.945535,0.94726,183.144,1237.093018,1285.807495,9.0,2.764715,0.229757,0.588818,5.488252
86,airline_satisfaction__L1_x2__fixed_k12__seed0,AAT-L1-x2-K12,fixed,12,12,"[[12, 12]]",24,1870,79,0.947453,0.946333,0.945026,0.943957,0.94649,178.901,1237.093018,1281.66272,12.0,2.692072,0.117457,0.438712,5.277746
87,airline_satisfaction__L1_x2__fixed_k08__seed0,AAT-L1-x2-K8,fixed,8,8,"[[8, 8]]",16,1334,72,0.947389,0.946295,0.945681,0.944654,0.947325,182.77,1237.093018,1290.941528,8.0,2.670554,0.177818,0.588043,4.566046
88,airline_satisfaction__L1_x2__fixed_k06__seed0,AAT-L1-x2-K6,fixed,6,6,"[[6, 6]]",12,1066,75,0.946298,0.945166,0.943948,0.942918,0.946041,182.715,1237.093018,1256.510986,6.0,2.704684,0.105174,0.429751,4.373607
89,airline_satisfaction__L1_x2__autok_max100__seed0,AAT-L1-x2-AutoK-max100,auto,,7,"[[7, 7]]",14,1200,78,0.942063,0.940985,0.941099,0.94019,0.941293,102.901,1237.093018,1269.654175,7.0,2.802182,0.167045,0.473576,4.913388
90,airline_satisfaction__L1_x2__fixed_k05__seed0,AAT-L1-x2-K5,fixed,5,5,"[[5, 5]]",10,932,68,0.941935,0.940898,0.940445,0.939487,0.941101,183.56,1237.093018,1284.821167,5.0,2.774489,0.198047,0.450876,4.28327
91,airline_satisfaction__L1_x2__fixed_k07__seed0,AAT-L1-x2-K7,fixed,7,7,"[[7, 7]]",14,1200,76,0.941229,0.940186,0.941215,0.940296,0.941229,182.679,1237.093018,1277.2229,7.0,2.742439,0.151289,0.402732,4.508513
92,airline_satisfaction__L1_x2__fixed_k04__seed0,AAT-L1-x2-K4,fixed,4,4,"[[4, 4]]",8,798,74,0.939561,0.938362,0.938328,0.937282,0.939369,179.396,1237.093018,1262.844116,4.0,2.724841,0.188141,0.338709,3.462479
93,airline_satisfaction__L1_x2__fixed_k03__seed0,AAT-L1-x2-K3,fixed,3,3,"[[3, 3]]",6,664,79,0.934364,0.932958,0.934401,0.933211,0.934108,162.113,1237.093018,1266.603027,3.0,2.642748,0.192017,0.346624,3.073614
94,airline_satisfaction__L1_x2__fixed_k02__seed0,AAT-L1-x2-K2,fixed,2,2,"[[2, 2]]",4,530,73,0.925959,0.924603,0.922505,0.921301,0.925574,133.875,1237.093018,1240.390503,2.0,2.937958,0.198151,0.551101,3.109561
